Mėnuo     	liko mokėti     	mokėstis     	Palukanos     	Kreditas     	
1        	1000000,00        	4216,04        	2500,00        	1716,04        	
2        	998283,96        	4216,04        	2495,71        	1720,33        	
3        	996563,63        	4216,04        	2491,41        	1724,63        	
4        	994839,00        	4216,04        	2487,10        	1728,94        	
5        	993110,06        	4216,04        	2482,78        	1733,27        	
6        	991376,79        	4216,04        	2478,44        	1737,60        	
7        	989639,19        	4216,04        	2474,10        	1741,94        	
8        	987897,25        	4216,04        	2469,74        	1746,30        	
9        	986150,95        	4216,04        	2465,38        	1750,66        	
10        	984400,29        	4216,04        	2461,00        	1755,04        	
11        	982645,25        	4216,04        	2456,61        	1759,43        	
12        	980885,82        	4216,04        	2452,21        	1763,83        	
13        	979122,00        	4216,04        	2447,80        	1768,24        	
14        	977353,76        	4216,04        	2443,38        	1772,66        	
15        	975581,11        	4216,04        	2438,95        	1777,09        	
16        	973804,02        	4216,04        	2434,51        	1781,53        	
17        	972022,49        	4216,04        	2430,06        	1785,98        	
18        	970236,50        	4216,04        	2425,59        	1790,45        	
19        	968446,05        	4216,04        	2421,12        	1794,93        	
20        	966651,13        	4216,04        	2416,63        	1799,41        	
21        	964851,72        	4216,04        	2412,13        	1803,91        	
22        	963047,81        	4216,04        	2407,62        	1808,42        	
23        	961239,38        	4216,04        	2403,10        	1812,94        	
24        	959426,44        	4216,04        	2398,57        	1817,47        	
25        	957608,97        	4216,04        	2394,02        	1822,02        	
26        	955786,95        	4216,04        	2389,47        	1826,57        	
27        	953960,38        	4216,04        	2384,90        	1831,14        	
28        	952129,24        	4216,04        	2380,32        	1835,72        	
29        	950293,52        	4216,04        	2375,73        	1840,31        	
30        	948453,21        	4216,04        	2371,13        	1844,91        	
31        	946608,31        	4216,04        	2366,52        	1849,52        	
32        	944758,79        	4216,04        	2361,90        	1854,14        	
33        	942904,64        	4216,04        	2357,26        	1858,78        	
34        	941045,87        	4216,04        	2352,61        	1863,43        	
35        	939182,44        	4216,04        	2347,96        	1868,08        	
36        	937314,36        	4216,04        	2343,29        	1872,75        	
37        	935441,60        	4216,04        	2338,60        	1877,44        	
38        	933564,16        	4216,04        	2333,91        	1882,13        	
39        	931682,03        	4216,04        	2329,21        	1886,84        	
40        	929795,20        	4216,04        	2324,49        	1891,55        	
41        	927903,65        	4216,04        	2319,76        	1896,28        	
42        	926007,37        	4216,04        	2315,02        	1901,02        	
43        	924106,34        	4216,04        	2310,27        	1905,77        	
44        	922200,57        	4216,04        	2305,50        	1910,54        	
45        	920290,03        	4216,04        	2300,73        	1915,32        	
46        	918374,72        	4216,04        	2295,94        	1920,10        	
47        	916454,61        	4216,04        	2291,14        	1924,90        	
48        	914529,71        	4216,04        	2286,32        	1929,72        	
49        	912599,99        	4216,04        	2281,50        	1934,54        	
50        	910665,45        	4216,04        	2276,66        	1939,38        	
51        	908726,07        	4216,04        	2271,82        	1944,23        	
52        	906781,85        	4216,04        	2266,95        	1949,09        	
53        	904832,76        	4216,04        	2262,08        	1953,96        	
54        	902878,81        	4216,04        	2257,20        	1958,84        	
55        	900919,96        	4216,04        	2252,30        	1963,74        	
56        	898956,22        	4216,04        	2247,39        	1968,65        	
57        	896987,57        	4216,04        	2242,47        	1973,57        	
58        	895014,00        	4216,04        	2237,54        	1978,51        	
59        	893035,50        	4216,04        	2232,59        	1983,45        	
60        	891052,04        	4216,04        	2227,63        	1988,41        	
61        	889063,63        	4216,04        	2222,66        	1993,38        	
62        	887070,25        	4216,04        	2217,68        	1998,36        	
