Board Size: 14, Cores: 1, Found Solutions: 365596, Execution Time: 5.742 s.
Board Size: 14, Cores: 2, Found Solutions: 365596, Execution Time: 2.968 s.
Board Size: 14, Cores: 3, Found Solutions: 365596, Execution Time: 2.227 s.
Board Size: 14, Cores: 4, Found Solutions: 365596, Execution Time: 1.769 s.
Board Size: 14, Cores: 5, Found Solutions: 365596, Execution Time: 1.443 s.
Board Size: 14, Cores: 6, Found Solutions: 365596, Execution Time: 1.507 s.
Board Size: 14, Cores: 7, Found Solutions: 365596, Execution Time: 1.269 s.
Board Size: 14, Cores: 8, Found Solutions: 365596, Execution Time: 1.385 s.
Board Size: 14, Cores: 9, Found Solutions: 365596, Execution Time: 1.25 s.
Board Size: 14, Cores: 10, Found Solutions: 365596, Execution Time: 1.174 s.
Board Size: 14, Cores: 11, Found Solutions: 365596, Execution Time: 1.103 s.
Board Size: 14, Cores: 12, Found Solutions: 365596, Execution Time: 1.086 s.
Board Size: 14, Cores: 13, Found Solutions: 365596, Execution Time: 1.026 s.
Board Size: 14, Cores: 14, Found Solutions: 365596, Execution Time: 0.936 s.
Board Size: 15, Cores: 1, Found Solutions: 2279184, Execution Time: 39.945 s.
Board Size: 15, Cores: 2, Found Solutions: 2279184, Execution Time: 20.912 s.
Board Size: 15, Cores: 3, Found Solutions: 2279184, Execution Time: 14.446 s.
Board Size: 15, Cores: 4, Found Solutions: 2279184, Execution Time: 12.464 s.
Board Size: 15, Cores: 5, Found Solutions: 2279184, Execution Time: 10.65 s.
Board Size: 15, Cores: 6, Found Solutions: 2279184, Execution Time: 10.489 s.
Board Size: 15, Cores: 7, Found Solutions: 2279184, Execution Time: 9.853 s.
Board Size: 15, Cores: 8, Found Solutions: 2279184, Execution Time: 8.336 s.
Board Size: 15, Cores: 9, Found Solutions: 2279184, Execution Time: 8.632 s.
Board Size: 15, Cores: 10, Found Solutions: 2279184, Execution Time: 8.137 s.
Board Size: 15, Cores: 11, Found Solutions: 2279184, Execution Time: 8.175 s.
Board Size: 15, Cores: 12, Found Solutions: 2279184, Execution Time: 7.607 s.
Board Size: 15, Cores: 13, Found Solutions: 2279184, Execution Time: 8.056 s.
Board Size: 15, Cores: 14, Found Solutions: 2279184, Execution Time: 7.672 s.
Board Size: 16, Cores: 1, Found Solutions: 14772512, Execution Time: 281.41 s.
Board Size: 16, Cores: 2, Found Solutions: 14772512, Execution Time: 143.081 s.
Board Size: 16, Cores: 3, Found Solutions: 14772512, Execution Time: 108.233 s.
Board Size: 16, Cores: 4, Found Solutions: 14772512, Execution Time: 82.516 s.
Board Size: 16, Cores: 5, Found Solutions: 14772512, Execution Time: 78.763 s.
Board Size: 16, Cores: 6, Found Solutions: 14772512, Execution Time: 68.39 s.
Board Size: 16, Cores: 7, Found Solutions: 14772512, Execution Time: 68.078 s.
Board Size: 16, Cores: 8, Found Solutions: 14772512, Execution Time: 58.252 s.
Board Size: 16, Cores: 9, Found Solutions: 14772512, Execution Time: 56.818 s.
Board Size: 16, Cores: 10, Found Solutions: 14772512, Execution Time: 56.283 s.
Board Size: 16, Cores: 11, Found Solutions: 14772512, Execution Time: 55.823 s.
Board Size: 16, Cores: 12, Found Solutions: 14772512, Execution Time: 54.916 s.
Board Size: 16, Cores: 13, Found Solutions: 14772512, Execution Time: 55.647 s.
Board Size: 16, Cores: 14, Found Solutions: 14772512, Execution Time: 53.628 s.
